ADA,AVAX,BCH,BNB,BTC,DOGE,DOT1,ETC,ETH,LINK,LTC,LUNA1,MATIC,SOL1,UNI3,VET,XLM,XRP
1.482573032,14.06767845,593.0466309,347.0334473,38347.0625,0.307761014,22.9721756,55.27223587,2367.663574,23.01507759,166.4589386,6.174939156,1.477197051,39.7036171,21.8322258,0.107486002,0.317373008,0.831907988
1.482193947,14.8320694,599.3579102,352.7385254,38053.50391,0.306495994,22.51145363,55.53529739,2372.001953,23.35679054,167.0556946,6.154644012,1.503793955,39.26459122,22.15489006,0.107220002,0.317561001,0.841437995
1.415395975,13.62787056,563.2868042,336.8096924,35787.24609,0.293471992,21.39889526,52.54550171,2231.733154,21.21115112,156.3556366,5.917374134,1.377261043,36.64879608,20.39336014,0.099463999,0.297656,0.797648013
1.390570045,13.45772934,554.8967285,335.7128296,35615.87109,0.287355989,20.35594177,51.14832687,2178.499023,20.42398262,153.2954559,5.763191223,1.363695025,35.35343552,19.91080666,0.097081997,0.290798992,0.761672974
1.429188013,13.97099113,557.5296021,340.0671997,35698.29688,0.280900002,20.67236328,51.11225128,2246.364502,21.73541641,155.0925903,5.891520023,1.398995996,35.32201385,20.80651283,0.098719001,0.297630012,0.776377022
1.177479982,11.21061611,456.293457,270.984436,31676.69336,0.178691,15.76990414,39.42816925,1888.44751,17.42409706,124.7864609,4.842235088,1.099051952,26.65740013,15.85063839,0.073716,0.236667007,0.610387981
1.153254032,10.52658176,443.7832642,261.8180847,32505.66016,0.191030994,14.65241241,36.52656937,1874.950073,16.80649185,119.602684,4.711923122,1.074383974,26.77185631,16.38027573,0.071470998,0.234630004,0.545067012
1.252895951,11.19394684,469.3756409,294.4902954,33723.02734,0.232173994,16.14249039,40.56602097,1989.736328,18.38720322,128.6749878,5.25257206,1.158586979,30.04888725,17.87169647,0.075764999,0.257174999,0.626534998
1.356086969,11.48295689,486.2078857,308.3970337,34662.4375,0.262782007,16.25365829,43.09289932,1988.456299,19.03735733,134.4846039,5.454391956,1.203148007,31.18103409,18.0547142,0.080545001,0.267769009,0.671999991
1.256477952,10.27066994,451.9181519,281.6209106,31637.7793,0.239152998,14.46769619,39.62571716,1813.217285,16.93096733,125.6877441,5.063105106,1.046162963,28.69886208,15.90519047,0.072382003,0.242594004,0.613322973
1.250440001,10.27557087,458.7761841,279.4380493,32186.27734,0.244783998,14.49961185,40.51564407,1829.239258,16.95522118,126.6572571,5.201917171,1.075453043,29.71285439,16.10042381,0.073849,0.249309003,0.615435004
1.335201979,10.91907978,476.8872986,290.5670166,34649.64453,0.264450014,15.01559353,42.33108521,1978.894653,18.3441391,132.3478851,5.400850773,1.11203301,31.92939186,17.09566689,0.077832997,0.258648008,0.646923006
1.324751973,11.28629589,500.6705627,289.5341187,34434.33594,0.256857008,15.74037838,43.32964706,2079.657471,18.77398872,137.3708496,5.529632092,1.119223952,32.92778015,17.68386078,0.079241998,0.263507992,0.643746018
1.368437052,11.8514204,522.2713623,300.2115479,35867.77734,0.262769014,16.25337029,56.301651,2160.768311,19.46001053,143.7029114,5.986422062,1.167279005,33.86680222,18.55433083,0.089782998,0.280817986,0.701725006
1.383471966,11.95554733,526.2958374,303.2958679,35040.83594,0.254215002,16.40219498,57.62730789,2274.547607,19.49723625,144.1358337,6.52235508,1.167428017,35.55640411,19.27835846,0.090609998,0.282977998,0.70637399
1.335610986,11.22981071,498.193573,288.2184143,33572.11719,0.244549006,15.27896404,53.23774338,2113.605469,18.27329254,137.5775299,5.921539783,1.077357054,33.40403366,17.87039948,0.084599003,0.269746006,0.661180019
1.39439702,11.13265419,496.349762,287.4230957,33897.04688,0.245263994,15.34077358,53.76950836,2150.040283,18.28356171,136.9436951,5.726226807,1.103610992,34.02048111,18.24172592,0.086742997,0.263426989,0.656763017
1.406836033,11.5039072,505.3199768,298.2371216,34668.54688,0.246410996,15.55371571,56.83176041,2226.114258,18.53881836,140.2796936,5.809141159,1.118638039,34.47881699,19.52475739,0.087385997,0.264324009,0.672887981
1.458184004,12.35009956,526.4296875,307.7320862,35287.78125,0.246482998,16.01402664,56.24565887,2321.724121,19.26283836,144.9058533,5.973340034,1.147865057,34.31060028,20.77187347,0.087803997,0.268128008,0.694944978
1.404898047,12.02680969,505.0554504,302.3779907,33746.00391,0.231613994,15.23558235,53.68263245,2198.58252,18.37158966,138.0732422,6.037942886,1.101609945,32.98458862,20.09518051,0.083407998,0.254456013,0.654299974
1.418053031,13.35743427,511.6671143,320.9348145,34235.19531,0.234421998,16.14356422,54.71455383,2324.679443,20.08046532,138.9856415,6.53027916,1.131785989,34.26913834,22.40018654,0.084527999,0.26019001,0.665401995
1.403118014,13.08975315,508.8645325,327.5224609,33855.32813,0.224125996,16.85778999,52.81042862,2315.161865,19.76412773,137.3712158,7.090137005,1.128411055,36.59136963,22.23114586,0.083428003,0.256940007,0.651575029
